"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"United Kingdom (UK)","01.01.2023 22:30 - 01.01.2023 23:00 (CET/CEST)","n/e","n/e","n/e","n/e","236","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","17"
"United Kingdom (UK)","01.01.2023 23:00 - 01.01.2023 23:30 (CET/CEST)","n/e","n/e","n/e","n/e","252","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","20"
"United Kingdom (UK)","01.01.2023 23:30 - 02.01.2023 00:00 (CET/CEST)","n/e","n/e","n/e","n/e","261","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","14"
"United Kingdom (UK)","02.01.2023 00:00 - 02.01.2023 00:30 (CET/CEST)","n/e","n/e","n/e","n/e","234","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","27"
"United Kingdom (UK)","02.01.2023 00:30 - 02.01.2023 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","216","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","32"
"United Kingdom (UK)","02.01.2023 01:00 - 02.01.2023 01:30 (CET/CEST)","n/e","n/e","n/e","n/e","228","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","31"
"United Kingdom (UK)","02.01.2023 01:30 - 02.01.2023 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","229","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","39"
"United Kingdom (UK)","02.01.2023 02:00 - 02.01.2023 02:30 (CET/CEST)","n/e","n/e","n/e","n/e","227","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","49"
"United Kingdom (UK)","02.01.2023 02:30 - 02.01.2023 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","216","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","56"
"United Kingdom (UK)","02.01.2023 03:00 - 02.01.2023 03:30 (CET/CEST)","n/e","n/e","n/e","n/e","215","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","52"
"United Kingdom (UK)","02.01.2023 03:30 - 02.01.2023 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","214","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","61"
